accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed	regular	purityx
1	0.6994	0.7645	0.8993	1.8077	0.4631	0.7496	33.8571	0.2049	9.4033	1032.0000	0.3624	2850.0000	0.9417	1971.0000	2093.0000	0.8154	0.9569
2	0.6978	0.7666	0.8994	1.7807	0.4648	0.7409	33.8571	0.2158	9.3756	1054.0000	0.3707	2845.0000	0.9336	1954.0000	2093.0000	0.8039	0.9580
3	0.6794	0.7661	0.8996	1.7786	0.4518	0.7297	33.9286	0.2261	9.4367	1064.0000	0.3736	2850.0000	0.9355	1958.0000	2093.0000	0.8049	0.9572
4	0.6901	0.7648	0.8991	1.7660	0.4611	0.7482	33.6429	0.2068	9.3362	1011.0000	0.3544	2855.0000	0.9408	1969.0000	2093.0000	0.8249	0.9579
5	0.6813	0.7660	0.8992	1.8062	0.4604	0.7338	33.7857	0.2246	9.3563	1051.0000	0.3692	2849.0000	0.9360	1959.0000	2093.0000	0.8055	0.9569
6	0.6957	0.7669	0.8993	1.7566	0.4661	0.7499	33.8571	0.2051	9.3373	1032.0000	0.3611	2860.0000	0.9322	1951.0000	2093.0000	0.8196	0.9581
7	0.6916	0.7656	0.8992	1.7945	0.4627	0.7363	33.9286	0.2148	9.3420	1057.0000	0.3722	2842.0000	0.9374	1962.0000	2093.0000	0.8033	0.9561
8	0.6867	0.7649	0.8988	1.7627	0.4703	0.7401	34.0000	0.2214	9.3196	1035.0000	0.3620	2861.0000	0.9403	1968.0000	2093.0000	0.8175	0.9574
9	0.6953	0.7678	0.8994	1.7777	0.4726	0.7451	33.6429	0.2119	9.4012	1055.0000	0.3697	2856.0000	0.9288	1944.0000	2093.0000	0.8113	0.9574
10	0.6912	0.7673	0.8995	1.7937	0.4609	0.7337	33.7857	0.2203	9.4009	1050.0000	0.3687	2850.0000	0.9307	1948.0000	2093.0000	0.8007	0.9555
11	0.7066	0.7675	0.8995	1.7892	0.4681	0.7487	33.8571	0.2035	9.3551	1041.0000	0.3636	2865.0000	0.9298	1946.0000	2093.0000	0.8119	0.9579
12	0.6941	0.7675	0.8999	1.7867	0.4619	0.7372	33.7143	0.2139	9.4584	1052.0000	0.3693	2851.0000	0.9298	1946.0000	2093.0000	0.8085	0.9577
13	0.6910	0.7678	0.8994	1.7550	0.4710	0.7488	33.7143	0.2072	9.3863	1036.0000	0.3639	2849.0000	0.9288	1944.0000	2093.0000	0.8147	0.9578
14	0.6918	0.7665	0.8994	1.7917	0.4723	0.7487	33.7143	0.2065	9.3703	1024.0000	0.3594	2851.0000	0.9341	1955.0000	2093.0000	0.8190	0.9553
15	0.6866	0.7651	0.8992	1.7433	0.4634	0.7386	33.9286	0.2178	9.3586	1047.0000	0.3670	2855.0000	0.9393	1966.0000	2093.0000	0.8081	0.9573
16	0.6863	0.7657	0.8992	1.7747	0.4571	0.7360	33.8571	0.2202	9.3330	1054.0000	0.3702	2849.0000	0.9369	1961.0000	2093.0000	0.8038	0.9571
17	0.6908	0.7661	0.8991	1.8127	0.4775	0.7378	33.7143	0.2154	9.3212	1048.0000	0.3685	2846.0000	0.9355	1958.0000	2093.0000	0.8113	0.9558
18	0.6917	0.7651	0.8991	1.8025	0.4845	0.7509	33.7143	0.2021	9.3123	1015.0000	0.3570	2845.0000	0.9393	1966.0000	2093.0000	0.8207	0.9566
19	0.6858	0.7656	0.8991	1.7275	0.4843	0.7395	33.9286	0.2184	9.3818	1033.0000	0.3621	2855.0000	0.9374	1962.0000	2093.0000	0.8161	0.9573
20	0.6895	0.7679	0.8991	1.8474	0.4667	0.7376	33.7857	0.2171	9.2949	1045.0000	0.3669	2850.0000	0.9283	1943.0000	2093.0000	0.8025	0.9542
21	0.6934	0.7661	0.8992	1.7805	0.4652	0.7480	33.7857	0.2064	9.3933	1023.0000	0.3595	2848.0000	0.9355	1958.0000	2093.0000	0.8216	0.9565
22	0.6969	0.7672	0.8990	1.7765	0.4628	0.7436	33.8571	0.2115	9.3684	1048.0000	0.3673	2855.0000	0.9312	1949.0000	2093.0000	0.8109	0.9570
23	0.6911	0.7663	0.8993	1.8078	0.4665	0.7408	33.6429	0.2131	9.3788	1049.0000	0.3674	2857.0000	0.9345	1956.0000	2093.0000	0.8078	0.9558
24	0.6966	0.7650	0.8991	1.7959	0.4627	0.7482	33.7857	0.2055	9.3696	1029.0000	0.3612	2851.0000	0.9398	1967.0000	2093.0000	0.8166	0.9559
25	0.6901	0.7654	0.8993	1.8026	0.4704	0.7482	33.7143	0.2067	9.3544	1033.0000	0.3631	2847.0000	0.9384	1964.0000	2093.0000	0.8149	0.9552
26	0.6919	0.7672	0.8995	1.7675	0.4813	0.7350	33.7143	0.2215	9.3756	1048.0000	0.3677	2852.0000	0.9312	1949.0000	2093.0000	0.8061	0.9573
27	0.6824	0.7666	0.8997	1.8174	0.4779	0.7302	33.6429	0.2264	9.4596	1048.0000	0.3676	2853.0000	0.9336	1954.0000	2093.0000	0.8041	0.9559
28	0.6914	0.7660	0.8996	1.7447	0.4718	0.7498	33.6429	0.2084	9.4165	1027.0000	0.3619	2840.0000	0.9360	1959.0000	2093.0000	0.8169	0.9571
29	0.6900	0.7672	0.8993	1.7461	0.4755	0.7382	34.0714	0.2142	9.3730	1046.0000	0.3681	2844.0000	0.9312	1949.0000	2093.0000	0.8105	0.9578
30	0.7009	0.7653	0.8991	1.7474	0.4585	0.7476	33.5000	0.2063	9.3318	1044.0000	0.3655	2858.0000	0.9388	1965.0000	2093.0000	0.8132	0.9583
31	0.6880	0.7663	0.8991	1.8176	0.4640	0.7404	34.0000	0.2175	9.3180	1040.0000	0.3658	2845.0000	0.9345	1956.0000	2093.0000	0.8088	0.9565
32	0.6923	0.7649	0.8993	1.7474	0.4691	0.7442	33.7857	0.2091	9.3730	1034.0000	0.3641	2842.0000	0.9403	1968.0000	2093.0000	0.8146	0.9570
33	0.6939	0.7667	0.8996	1.7335	0.4739	0.7400	33.7857	0.2164	9.4112	1055.0000	0.3697	2856.0000	0.9331	1953.0000	2093.0000	0.8029	0.9574
34	0.6855	0.7654	0.8991	1.7591	0.4743	0.7412	34.0000	0.2150	9.3198	1041.0000	0.3664	2843.0000	0.9384	1964.0000	2093.0000	0.8090	0.9585
35	0.6829	0.7657	0.8994	1.7445	0.4571	0.7449	33.8571	0.2157	9.3768	1047.0000	0.3662	2861.0000	0.9369	1961.0000	2093.0000	0.8134	0.9574
36	0.6840	0.7662	0.8994	1.7634	0.4650	0.7391	33.7143	0.2177	9.4052	1036.0000	0.3644	2845.0000	0.9350	1957.0000	2093.0000	0.8063	0.9579
37	0.6908	0.7669	0.8993	1.7899	0.4655	0.7470	33.4286	0.2057	9.3470	1032.0000	0.3616	2856.0000	0.9322	1951.0000	2093.0000	0.8169	0.9564
38	0.6864	0.7660	0.8995	1.8426	0.4814	0.7399	33.6429	0.2138	9.4022	1028.0000	0.3598	2859.0000	0.9360	1959.0000	2093.0000	0.8146	0.9546
