accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
1	0.6549	0.4644	0.3352	0.7275	0.0370	0.7674	19.5000	0.1621	864.0000	174.0000	0.2014	869.0000
2	0.6863	0.4607	0.3413	0.7059	0.0397	0.7809	19.4000	0.1308	919.0000	180.0000	0.1959	921.0000
3	0.6664	0.4586	0.3243	0.6995	0.0375	0.7751	19.5000	0.1322	890.0000	192.0000	0.2157	893.0000
4	0.6474	0.4569	0.3293	0.7044	0.0371	0.7716	19.4000	0.1316	892.0000	184.0000	0.2063	894.0000
5	0.6343	0.4607	0.3399	0.7159	0.0372	0.7723	19.3000	0.1373	937.0000	175.0000	0.1868	939.0000
6	0.6860	0.4532	0.3280	0.7169	0.0355	0.7901	18.7000	0.1097	833.0000	166.0000	0.1993	835.0000
7	0.6586	0.4590	0.3308	0.7079	0.0352	0.7835	19.2000	0.1230	921.0000	179.0000	0.1944	926.0000
8	0.6192	0.4598	0.3296	0.7176	0.0384	0.7804	19.0000	0.1353	912.0000	168.0000	0.1842	914.0000
9	0.6920	0.4557	0.3138	0.7154	0.0359	0.7935	19.3000	0.1114	834.0000	172.0000	0.2062	838.0000
10	0.6524	0.4586	0.3353	0.7261	0.0378	0.7943	18.8000	0.1213	900.0000	174.0000	0.1933	902.0000
11	0.6563	0.4499	0.3220	0.7237	0.0338	0.7628	18.9000	0.1375	812.0000	167.0000	0.2057	816.0000
12	0.7092	0.4541	0.3123	0.7065	0.0371	0.7722	19.0000	0.1255	863.0000	187.0000	0.2167	868.0000
13	0.6888	0.4639	0.3354	0.7210	0.0390	0.8045	19.0000	0.1025	931.0000	176.0000	0.1890	933.0000
14	0.6479	0.4582	0.3385	0.7095	0.0391	0.7707	19.5000	0.1300	951.0000	187.0000	0.1966	953.0000
15	0.6449	0.4594	0.3322	0.7113	0.0394	0.7940	18.9000	0.1209	888.0000	178.0000	0.2005	890.0000
