accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
1	0.4087	0.4074	0.1867	0.7990	0.1640	0.6822	34.6250	0.2486	510.0000	140.0000	0.2745	519.0000
2	0.4074	0.4024	0.1949	0.8134	0.1512	0.6791	34.0000	0.2517	436.0000	123.0000	0.2821	445.0000
3	0.3421	0.3909	0.1741	0.8228	0.1423	0.6523	35.0000	0.2763	400.0000	117.0000	0.2925	404.0000
4	0.3873	0.3782	0.1901	0.8457	0.1387	0.6496	34.5000	0.2701	368.0000	113.0000	0.3071	375.0000
5	0.3940	0.3755	0.1739	0.8375	0.1259	0.6887	33.6250	0.2540	350.0000	103.0000	0.2943	357.0000
6	0.3606	0.3821	0.1759	0.8285	0.1332	0.6346	34.1250	0.2803	375.0000	108.0000	0.2880	386.0000
7	0.3763	0.3755	0.1748	0.8422	0.1357	0.6721	33.7500	0.2617	377.0000	105.0000	0.2785	383.0000
8	0.3705	0.3749	0.1869	0.8571	0.1447	0.6497	34.6250	0.2659	388.0000	115.0000	0.2964	391.0000
9	0.3475	0.3711	0.1719	0.8736	0.1340	0.6628	34.2500	0.2934	362.0000	105.0000	0.2901	373.0000
10	0.3438	0.3700	0.1807	0.8397	0.1312	0.6396	33.8750	0.2947	366.0000	113.0000	0.3087	377.0000
11	0.3586	0.3716	0.1835	0.8524	0.1331	0.6550	34.7500	0.2651	383.0000	109.0000	0.2846	394.0000
12	0.3845	0.3678	0.1734	0.8511	0.1273	0.6260	34.2500	0.3096	339.0000	112.0000	0.3304	344.0000
13	0.3218	0.3612	0.1545	0.8632	0.1206	0.6357	34.7500	0.3212	319.0000	103.0000	0.3229	327.0000
14	0.2954	0.3639	0.1719	0.8446	0.1369	0.6146	34.0000	0.3242	355.0000	113.0000	0.3183	360.0000
15	0.3643	0.3612	0.1486	0.8624	0.1179	0.6177	34.3750	0.3481	310.0000	104.0000	0.3355	317.0000
16	0.3375	0.3518	0.1677	0.8537	0.1317	0.6561	33.6250	0.2716	350.0000	110.0000	0.3143	354.0000
17	0.3458	0.3650	0.1693	0.8549	0.1279	0.6440	34.1250	0.2909	357.0000	108.0000	0.3025	360.0000
18	0.3383	0.3672	0.1767	0.8422	0.1293	0.6207	34.7500	0.2882	364.0000	115.0000	0.3159	368.0000
19	0.3513	0.3722	0.1666	0.8576	0.1218	0.6602	33.7500	0.2669	310.0000	97.0000	0.3129	315.0000
20	0.3252	0.3700	0.1643	0.8577	0.1189	0.5895	34.8750	0.3388	331.0000	115.0000	0.3474	339.0000
21	0.3635	0.3634	0.1644	0.8515	0.1244	0.6352	34.7500	0.3071	350.0000	108.0000	0.3086	355.0000
22	0.3822	0.3694	0.1718	0.8444	0.1296	0.6499	33.6250	0.2801	351.0000	111.0000	0.3162	359.0000
23	0.3745	0.3656	0.1636	0.8522	0.1237	0.6233	33.7500	0.3096	336.0000	110.0000	0.3274	339.0000
24	0.3518	0.3689	0.1749	0.8580	0.1312	0.6571	33.5000	0.2771	360.0000	101.0000	0.2806	367.0000
25	0.3493	0.3716	0.1628	0.8638	0.1332	0.6416	34.1250	0.2794	351.0000	109.0000	0.3105	357.0000
26	0.3904	0.3733	0.1819	0.8468	0.1454	0.6972	34.1250	0.2458	376.0000	101.0000	0.2686	383.0000
27	0.3569	0.3711	0.1880	0.8253	0.1418	0.6493	33.8750	0.2579	397.0000	111.0000	0.2796	401.0000
28	0.3259	0.3634	0.1655	0.8497	0.1251	0.6396	33.8750	0.2951	342.0000	102.0000	0.2982	348.0000
29	0.3322	0.3711	0.1615	0.8550	0.1241	0.6419	34.6250	0.3075	336.0000	105.0000	0.3125	340.0000
30	0.3588	0.3628	0.1617	0.8557	0.1281	0.6540	34.3750	0.2706	330.0000	101.0000	0.3061	337.0000
31	0.3736	0.3667	0.1766	0.8457	0.1311	0.6540	34.2500	0.2813	364.0000	107.0000	0.2940	370.0000
32	0.3611	0.3672	0.1670	0.8382	0.1322	0.6500	33.8750	0.2817	336.0000	110.0000	0.3274	343.0000
33	0.3295	0.3683	0.1711	0.8477	0.1317	0.6358	34.3750	0.2872	361.0000	105.0000	0.2909	370.0000
34	0.3405	0.3672	0.1766	0.8375	0.1311	0.6430	34.0000	0.3096	346.0000	111.0000	0.3208	349.0000
35	0.3470	0.3595	0.1712	0.8461	0.1251	0.6154	34.5000	0.3021	334.0000	116.0000	0.3473	340.0000
36	0.3535	0.3584	0.1596	0.8703	0.1256	0.6495	34.5000	0.2845	328.0000	98.0000	0.2988	336.0000
37	0.3662	0.3639	0.1706	0.8512	0.1237	0.6222	34.6250	0.3186	340.0000	108.0000	0.3176	350.0000
38	0.3418	0.3656	0.1595	0.8562	0.1284	0.6315	34.2500	0.3007	329.0000	107.0000	0.3252	333.0000
39	0.3249	0.3760	0.1659	0.8562	0.1249	0.6241	34.5000	0.3033	354.0000	104.0000	0.2938	363.0000
40	0.3302	0.3727	0.1803	0.8390	0.1316	0.5996	34.5000	0.3238	378.0000	123.0000	0.3254	380.0000
41	0.4125	0.3678	0.1607	0.8685	0.1329	0.6406	34.3750	0.2667	349.0000	104.0000	0.2980	358.0000
42	0.3779	0.3661	0.1676	0.8512	0.1230	0.6256	34.2500	0.2944	327.0000	107.0000	0.3272	332.0000
43	0.4053	0.3705	0.1795	0.8554	0.1333	0.6875	35.3750	0.2289	373.0000	105.0000	0.2815	381.0000
44	0.3926	0.3694	0.1775	0.8527	0.1251	0.6569	33.7500	0.2867	313.0000	106.0000	0.3387	316.0000
45	0.3546	0.3689	0.1743	0.8352	0.1322	0.6772	34.1250	0.2394	361.0000	103.0000	0.2853	363.0000
46	0.3387	0.3672	0.1868	0.8420	0.1315	0.6340	34.5000	0.2736	343.0000	121.0000	0.3528	348.0000
47	0.3752	0.3656	0.1641	0.8443	0.1231	0.6467	33.8750	0.2975	339.0000	101.0000	0.2979	344.0000
48	0.3670	0.3694	0.1883	0.8446	0.1345	0.6170	34.7500	0.3341	358.0000	114.0000	0.3184	365.0000
49	0.3494	0.3612	0.1686	0.8486	0.1227	0.6371	34.2500	0.3222	330.0000	103.0000	0.3121	335.0000
50	0.3796	0.3595	0.1493	0.8585	0.1190	0.6552	34.7500	0.3052	311.0000	100.0000	0.3215	316.0000
51	0.3954	0.3656	0.1756	0.8443	0.1305	0.6639	34.3750	0.2475	351.0000	107.0000	0.3048	356.0000
52	0.3690	0.3623	0.1681	0.8484	0.1254	0.6512	34.3750	0.2906	324.0000	101.0000	0.3117	328.0000
53	0.3768	0.3700	0.1966	0.8215	0.1367	0.6800	34.2500	0.2588	369.0000	107.0000	0.2900	373.0000
54	0.3774	0.3672	0.1694	0.8582	0.1283	0.6318	34.3750	0.2904	322.0000	105.0000	0.3261	330.0000
55	0.3776	0.3601	0.1680	0.8350	0.1280	0.6414	33.8750	0.2666	354.0000	111.0000	0.3136	364.0000
56	0.3972	0.3760	0.1858	0.8454	0.1330	0.6911	34.5000	0.2462	344.0000	104.0000	0.3023	350.0000
57	0.4179	0.3623	0.1881	0.8692	0.1285	0.6664	33.6250	0.2661	333.0000	109.0000	0.3273	337.0000
58	0.4062	0.3650	0.1920	0.8291	0.1278	0.6594	34.7500	0.2658	352.0000	113.0000	0.3210	359.0000
59	0.3868	0.3689	0.1855	0.8332	0.1419	0.6570	34.5000	0.2657	371.0000	116.0000	0.3127	377.0000
60	0.3745	0.3595	0.1611	0.8761	0.1219	0.6481	34.0000	0.2912	327.0000	96.0000	0.2936	334.0000
61	0.4011	0.3694	0.1741	0.8417	0.1260	0.6417	33.5000	0.2856	363.0000	112.0000	0.3085	372.0000
62	0.3275	0.3612	0.1786	0.8527	0.1315	0.6323	34.5000	0.3171	344.0000	108.0000	0.3140	353.0000
63	0.3597	0.3705	0.1769	0.8295	0.1380	0.6789	34.3750	0.2573	368.0000	103.0000	0.2799	373.0000
64	0.3901	0.3815	0.1862	0.8397	0.1431	0.6634	34.0000	0.2908	372.0000	114.0000	0.3065	377.0000
65	0.3077	0.3601	0.1728	0.8492	0.1203	0.6022	35.3750	0.3276	332.0000	120.0000	0.3614	337.0000
66	0.3615	0.3628	0.1724	0.8609	0.1291	0.6579	34.1250	0.2771	335.0000	101.0000	0.3015	342.0000
67	0.3742	0.3678	0.1862	0.8745	0.1428	0.6970	34.6250	0.2584	353.0000	94.0000	0.2663	356.0000
68	0.3871	0.3667	0.1596	0.8750	0.1234	0.6835	34.6250	0.2657	335.0000	102.0000	0.3045	342.0000
69	0.3557	0.3744	0.1688	0.8187	0.1250	0.6310	35.3750	0.3160	359.0000	118.0000	0.3287	362.0000
70	0.3660	0.3562	0.1549	0.8471	0.1246	0.6368	33.8750	0.3165	331.0000	103.0000	0.3112	340.0000
