accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed	regular	purityx
1	0.3943	0.4233	0.1745	1.8658	0.0342	0.7036	34.7500	0.2436	3.1457	111.0000	0.2517	447.0000	0.2719	398.0000	1464.0000	0.9284	0.8403
2	0.3779	0.3958	0.1795	1.6830	0.0275	0.6310	34.2500	0.2956	2.9761	119.0000	0.3107	388.0000	0.2575	377.0000	1464.0000	0.8686	0.8515
3	0.3812	0.3815	0.1743	1.6247	0.0317	0.6706	34.5000	0.2661	2.6675	100.0000	0.2688	381.0000	0.2630	385.0000	1464.0000	0.9291	0.8551
4	0.3985	0.3650	0.1822	1.6917	0.0293	0.6408	35.0000	0.2692	2.6064	104.0000	0.2834	373.0000	0.2343	343.0000	1464.0000	0.9008	0.8440
5	0.4156	0.3722	0.1890	1.7111	0.0272	0.6700	34.0000	0.2602	2.8529	103.0000	0.2926	360.0000	0.2322	340.0000	1464.0000	0.8889	0.8607
6	0.3443	0.3672	0.1687	1.6265	0.0244	0.5950	34.6250	0.3535	2.6018	109.0000	0.3428	324.0000	0.2316	339.0000	1464.0000	0.8673	0.8585
7	0.3608	0.3590	0.1510	1.5599	0.0249	0.6413	33.6250	0.3023	2.6691	93.0000	0.3049	309.0000	0.1837	269.0000	1464.0000	0.8867	0.8769
8	0.4586	0.3617	0.1796	1.5887	0.0277	0.7026	33.8750	0.2395	2.7080	94.0000	0.2701	355.0000	0.2316	339.0000	1464.0000	0.9183	0.8725
9	0.4047	0.3672	0.1502	1.5859	0.0210	0.6466	34.1250	0.2904	2.6875	92.0000	0.3162	297.0000	0.2186	320.0000	1464.0000	0.8653	0.8809
10	0.3094	0.3645	0.1740	1.5467	0.0262	0.6099	34.2500	0.3346	2.5412	109.0000	0.3036	364.0000	0.2486	364.0000	1464.0000	0.9011	0.8596
11	0.4257	0.3623	0.1672	1.5210	0.0270	0.6688	33.8750	0.2641	2.7642	94.0000	0.2866	334.0000	0.2288	335.0000	1464.0000	0.9102	0.8710
12	0.3733	0.3546	0.1519	1.5957	0.0218	0.6418	34.0000	0.3125	2.7791	89.0000	0.3213	282.0000	0.1762	258.0000	1464.0000	0.8759	0.8770
13	0.3667	0.3524	0.1750	1.6498	0.0263	0.6509	34.2500	0.3046	2.6349	97.0000	0.3099	317.0000	0.2152	315.0000	1464.0000	0.8864	0.8752
14	0.3751	0.3551	0.1663	1.6140	0.0257	0.6317	34.2500	0.3103	2.6478	98.0000	0.3072	329.0000	0.2288	335.0000	1464.0000	0.8967	0.8594
15	0.3957	0.3656	0.1855	1.6884	0.0280	0.6316	33.3750	0.2958	2.7077	98.0000	0.2865	353.0000	0.2384	349.0000	1464.0000	0.9207	0.8520
16	0.3429	0.3623	0.1541	1.5265	0.0235	0.6073	34.5000	0.3423	2.5200	97.0000	0.3089	321.0000	0.2049	300.0000	1464.0000	0.8941	0.8718
17	0.4083	0.3645	0.1695	1.6019	0.0292	0.6371	34.2500	0.3004	2.8925	97.0000	0.3070	319.0000	0.2097	307.0000	1464.0000	0.8746	0.8579
18	0.4169	0.3584	0.1697	1.5845	0.0277	0.6835	33.5000	0.2659	2.5749	91.0000	0.2653	349.0000	0.2234	327.0000	1464.0000	0.9226	0.8656
19	0.3654	0.3623	0.1627	1.6012	0.0254	0.6186	34.0000	0.3181	2.6273	96.0000	0.2963	331.0000	0.2254	330.0000	1464.0000	0.8912	0.8462
20	0.3492	0.3628	0.1780	1.5775	0.0284	0.6602	34.0000	0.2827	2.6235	102.0000	0.2890	355.0000	0.2268	332.0000	1464.0000	0.8986	0.8744
21	0.3927	0.3716	0.1821	1.8559	0.0300	0.6362	33.8750	0.3119	2.7188	107.0000	0.3194	340.0000	0.2357	345.0000	1464.0000	0.8706	0.8476
22	0.3525	0.3601	0.1551	1.5631	0.0238	0.6236	34.6250	0.3285	2.5268	99.0000	0.3084	325.0000	0.2165	317.0000	1464.0000	0.8800	0.8750
23	0.4559	0.3557	0.1656	1.5888	0.0263	0.6795	34.0000	0.2731	2.5043	94.0000	0.2831	338.0000	0.2357	345.0000	1464.0000	0.8817	0.8616
24	0.3449	0.3656	0.1557	1.6486	0.0224	0.6410	34.2500	0.2971	2.7868	97.0000	0.3170	313.0000	0.2179	319.0000	1464.0000	0.8818	0.8492
25	0.3762	0.3634	0.1701	1.6254	0.0251	0.6667	34.3750	0.2804	2.5954	95.0000	0.2896	331.0000	0.2363	346.0000	1464.0000	0.8973	0.8735
26	0.4308	0.3584	0.1728	1.5767	0.0271	0.6733	34.1250	0.2756	2.6585	89.0000	0.2773	326.0000	0.2240	328.0000	1464.0000	0.9080	0.8740
27	0.3611	0.3551	0.1543	1.5981	0.0235	0.6144	34.1250	0.3275	2.4603	96.0000	0.3107	311.0000	0.2152	315.0000	1464.0000	0.8682	0.8629
28	0.3520	0.3683	0.1708	1.7102	0.0258	0.6403	33.6250	0.2992	2.7428	109.0000	0.3159	352.0000	0.2363	346.0000	1464.0000	0.8835	0.8486
29	0.4133	0.3645	0.1704	1.4865	0.0264	0.6689	33.8750	0.2587	2.6636	97.0000	0.2948	333.0000	0.2234	327.0000	1464.0000	0.8859	0.8880
30	0.4260	0.3601	0.1817	1.6384	0.0305	0.6320	34.2500	0.2933	2.6282	104.0000	0.2889	365.0000	0.2425	355.0000	1464.0000	0.9041	0.8476
31	0.4049	0.3606	0.1808	1.5579	0.0276	0.6345	34.2500	0.3129	2.6204	104.0000	0.3161	337.0000	0.2213	324.0000	1464.0000	0.8783	0.8747
32	0.3162	0.3689	0.1748	1.6598	0.0251	0.6297	34.0000	0.3086	2.7410	107.0000	0.3242	338.0000	0.2268	332.0000	1464.0000	0.8698	0.8506
33	0.3928	0.3551	0.1774	1.6793	0.0268	0.6122	33.6250	0.3065	2.6527	108.0000	0.3186	343.0000	0.2281	334.0000	1464.0000	0.8659	0.8604
